Date,Open,High,Low,Close,Volume
2016.10.04,1298.07,1298.38,1292.46,1295.19,3510
2016.10.04,1295.23,1295.23,1291.36,1291.77,3136
2016.10.04,1291.79,1293.12,1289.67,1291.67,3408
2016.10.04,1291.67,1292.36,1290.36,1290.82,2257
2016.10.04,1290.86,1290.97,1286.2,1286.31,3665
2016.10.04,1286.34,1286.48,1281.48,1284.72,3785
2016.10.04,1284.66,1285.76,1283.52,1285.38,2675
2016.10.04,1285.36,1286.53,1284.09,1284.51,2719
2016.10.04,1284.51,1285.35,1283.23,1284.21,2990
2016.10.04,1284.19,1284.98,1282.85,1284.05,1909
2016.10.04,1284.11,1284.45,1283.02,1283.31,1453
2016.10.04,1283.33,1283.64,1281.65,1282.28,2466
2016.10.04,1282.26,1283.57,1273.8,1276.6,3639
2016.10.04,1276.61,1277.96,1275.01,1277.13,3459
2016.10.04,1277.07,1277.35,1274.79,1275.72,2194
2016.10.04,1275.69,1276.27,1274.6,1275.69,2005
2016.10.04,1275.7,1276.17,1273.56,1274.3,2086
2016.10.04,1274.3,1274.31,1270.43,1271.01,3453
2016.10.04,1271,1271.21,1269.04,1270.14,2800
2016.10.04,1270.15,1271.11,1266.87,1267.7,3157
2016.10.04,1267.8,1272.75,1267.35,1272.06,2597
2016.10.04,1272.05,1273.54,1271.55,1272.63,2027
2016.10.04,1272.56,1273.34,1270.96,1270.96,1053
2016.10.04,1271.01,1272.2,1270.38,1272.18,1113
2016.10.04,1272.23,1272.43,1270.09,1270.09,762
2016.10.04,1270.18,1270.31,1268.37,1268.83,1303
2016.10.04,1268.84,1270.9,1268.79,1269.74,1336
2016.10.04,1269.75,1271.25,1269.33,1271.21,830
2016.10.04,1271.21,1271.27,1269.84,1269.9,848
2016.10.04,1269.97,1270.32,1267.8,1268.51,1716
2016.10.04,1268.54,1270.37,1268.11,1269.9,1867
2016.10.04,1269.91,1270,1268.91,1269.03,1088
2016.10.04,1269.02,1269.85,1268.81,1268.81,332
2016.10.04,1268.91,1268.91,1266.89,1267.12,332
2016.10.05,1268.36,1268.79,1267.63,1268.12,744
2016.10.05,1268.2,1268.61,1267.9,1268.53,449
2016.10.05,1268.56,1269,1268.31,1268.59,268
2016.10.05,1268.58,1268.67,1267.74,1267.92,344
2016.10.05,1267.92,1268.08,1266.43,1267.45,1171
2016.10.05,1267.46,1269.9,1267.44,1269.85,964
2016.10.05,1269.85,1270.33,1269.04,1270.16,1640
2016.10.05,1270.19,1270.67,1267.65,1268.21,1802
2016.10.05,1268.2,1270.22,1268.1,1270.21,885
2016.10.05,1270.23,1271,1269.89,1270.77,718
2016.10.05,1270.74,1271.5,1270.55,1271.39,1524
2016.10.05,1271.41,1271.5,1270.78,1270.98,1610
2016.10.05,1270.98,1271.6,1270.85,1271.3,1075
2016.10.05,1271.3,1271.73,1271.07,1271.67,659
2016.10.05,1271.68,1271.76,1271.4,1271.57,489
2016.10.05,1271.56,1272.05,1271.45,1271.77,651
